,ACCESSION,TAXON_ID,TITLE,LINEAGE
1,XM_004851581.3,10181,"PREDICTED: Heterocephalus glaber brain derived neurotrophic factor (Bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Bathyergidae', 'Heterocephalus', 'Heterocephalus glaber']"
2,XM_028794224.1,27687,"PREDICTED: Erpetoichthys calabaricus brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Cladistia', 'Polypteriformes', 'Polypteridae', 'Erpetoichthys', 'Erpetoichthys calabaricus']"
3,XM_028957024.1,299321,"PREDICTED: Denticeps clupeoides brain derived neurotrophic factor (bdnf), mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Clupei', 'Clupeiformes', 'Denticipitoidei', 'Denticipitidae', 'Denticeps', 'Denticeps clupeoides']"
4,XM_012819411.2,7950,"PREDICTED: Clupea harengus brain derived neurotrophic factor (bdnf), transcript variant X4, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Clupei', 'Clupeiformes', 'Clupeoidei', 'Clupeidae', 'Clupeinae', 'Clupea', 'Clupea harengus']"
5,XM_009303234.3,7955,"PREDICTED: Danio rerio brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Cypriniphysae', 'Cypriniformes', 'Cyprinoidei', 'Danionidae', 'Danioninae', 'Danio', 'Danio rerio']"
6,XM_026267401.1,7957,"PREDICTED: Carassius auratus brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Cypriniphysae', 'Cypriniformes', 'Cyprinoidei', 'Cyprinidae', 'Cyprininae', 'Carassius', 'Carassius auratus']"
7,XM_016463442.1,1608454,"PREDICTED: Sinocyclocheilus anshuiensis brain-derived neurotrophic factor (LOC107670730), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Cypriniphysae', 'Cypriniformes', 'Cyprinoidei', 'Cyprinidae', 'Cyprininae', 'Sinocyclocheilus', 'Sinocyclocheilus anshuiensis']"
8,XM_016571672.1,307959,"PREDICTED: Sinocyclocheilus rhinocerous brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Cypriniphysae', 'Cypriniformes', 'Cyprinoidei', 'Cyprinidae', 'Cyprininae', 'Sinocyclocheilus', 'Sinocyclocheilus rhinocerous']"
9,XM_027137186.1,1234273,"PREDICTED: Tachysurus fulvidraco brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Siluriformes', 'Siluroidei', 'Bagridae', 'Tachysurus', 'Tachysurus fulvidraco']"
10,XM_026937384.2,310915,"PREDICTED: Pangasianodon hypophthalmus brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Siluriformes', 'Siluroidei', 'Pangasiidae', 'Pangasianodon', 'Pangasianodon hypophthalmus']"
